Material               Ra      Rb       Va    Vb    Xa     Xb     Pa     Pb
SrFeO3_none            1.580   0.725   2.000   4.000   0.950   1.830   4.240   2.290   
Ba(In1/2Ta1/2)O3_none  1.750   0.860   2.000   4.000   0.890   1.640   6.400   3.675   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
Ba(In1/2Ta1/2)O3_none  1.750   0.860   2.000   4.000   0.890   1.640   6.400   3.675   
SrFeO3_none            1.580   0.725   2.000   4.000   0.950   1.830   4.240   2.290   
SrFeO3_none            1.580   0.725   2.000   4.000   0.950   1.830   4.240   2.290   
KUO3_none              1.780   0.900   1.000   5.000   0.820   1.380   3.830   4.450   
KUO3_none              1.780   0.900   1.000   5.000   0.820   1.380   3.830   4.450   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
SrFeO3_none            1.580   0.725   2.000   4.000   0.950   1.830   4.240   2.290   
KTaO3_none             1.780   0.780   1.000   5.000   0.820   3.830   1.500   4.730   
Ba(In1/2Ta1/2)O3_none  1.750   0.860   2.000   4.000   0.890   1.640   6.400   3.675   
SrFeO3_none            1.580   0.725   2.000   4.000   0.950   1.830   4.240   2.290   
Ba(In1/2Ta1/2)O3_none  1.750   0.860   2.000   4.000   0.890   1.640   6.400   3.675   
PbTiO3_none            1.630   0.745   2.000   4.000   2.330   6.580   1.540   2.930   
